,ano,temperatura_media_anual(°C),country_code
939,1966,14.68,ESP
940,1966,25.39,LKA
941,1966,28.14,SDN
942,1966,26.44,SUR
943,1966,2.81,SWE
944,1966,6.89,CHE
945,1966,20.62,SYR
946,1966,22.44,TWN
947,1966,8.45,TJK
948,1966,22.69,TZA
949,1966,27.43,THA
950,1966,27.09,TLS
951,1966,28.21,TGO
952,1966,25.22,TON
953,1966,19.33,TUN
954,1966,14.45,TUR
955,1966,17.17,TKM
956,1966,27.95,TUV
957,1966,21.6,UGA
958,1966,10.23,UKR
959,1966,29.2,ARE
960,1966,8.83,GBR
961,1966,10.73,USA
962,1966,16.35,URY
963,1966,13.45,UZB
964,1966,25.59,VUT
965,1966,25.73,VEN
966,1966,26.69,VNM
967,1966,29.02,YEM
968,1966,20.95,ZMB
969,1966,19.86,ZWE
970,1967,17.7,AFG
971,1967,14.75,ALB
972,1967,20.03,DZA
973,1967,21.3,AGO
974,1967,-13.63,ATA
975,1967,16.82,ARG
976,1967,4.06,ARM
977,1967,17.47,AUS
978,1967,7.22,AUT
979,1967,13.18,AZE
980,1967,24.96,BHR
981,1967,25.42,BGD
982,1967,25.51,BRB
983,1967,6.74,BLR
984,1967,9.59,BEL
985,1967,25.69,BLZ
986,1967,26.57,BEN
987,1967,19.1,BOL
988,1967,8.35,BIH
989,1967,20.88,BWA
990,1967,23.22,BRA
991,1967,9.01,BGR
992,1967,27.69,BFA
993,1967,25.76,MMR
994,1967,26.46,KHM
995,1967,24.26,CMR
996,1967,3.06,CAN
997,1967,23.37,CPV
998,1967,24.94,CAF
999,1967,28.34,TCD
1000,1967,12.09,CHL
1001,1967,10.69,CHN
1002,1967,23.26,COL
1003,1967,25.83,COM
1004,1967,24.41,COC
1005,1967,23.71,COD
1006,1967,,CRI
1007,1967,25.08,CIV
1008,1967,12.41,HRV
1009,1967,25.02,CUB
1010,1967,17.67,CYP
1011,1967,7.42,CZE
1012,1967,8.44,DNK
1013,1967,25.06,DOM
1014,1967,19.19,ECU
1015,1967,21.5,EGY
1016,1967,19.95,SLV
1017,1967,24.28,ERI
1018,1967,5.66,EST
1019,1967,18.79,ETH
1020,1967,25.44,FJI
1021,1967,2.72,FIN
1022,1967,11.01,FRA
1023,1967,24.83,GAB
1024,1967,11.19,GEO
1025,1967,8.74,DEU
1026,1967,26.69,GHA
1027,1967,16.62,GRC
1028,1967,18.34,GTM
1029,1967,24.66,GIN
1030,1967,26.31,GNB
1031,1967,26.51,GUY
